adress,Latitude,Longitude
Ferenc körút 44. (38-44.),47.4851142,19.0695038
Ferenc körút 37. (33-39.),47.4842448,19.0695278
Ferenc körút 34. (32-36.),47.4843342,19.0691659
Ferenc körút 29. (25-31.),47.4835774,19.069282
Ferenc körút 28. (24-30.),47.4837204,19.0688951
Ferenc körút 17. (17-23.),47.4822767,19.0687953
Ferenc körút 14. (12-16.),47.4824264,19.068431
Ferenc körút 4. (2-10.),47.4816259,19.0679677
Ferenc körút 5. (1-11.),47.4813085,19.068182
Hőgyes E. u. 10.,47.4854115,19.0680492
Knézich u. 6.,47.485063,19.06654
Kinizsi u. 22.,47.4854152,19.0656357
Ráday u. 30 (Biblia köz Markusovszky térnél),47.4857673,19.065415
Kinizsi u. 30-36.,47.4859323,19.0666626
Kinizsi u. 30-36.,47.4861969,19.0672098
Köztelek u. 2.,47.4862622,19.0646476
Erkel u. 17.,47.4877195,19.0640534
Ráday u. 1-3.,47.488687,19.062166
Ráday u. 11-13.,47.48739,19.0631
Erkel u. 12-14.,47.487,19.0624
Mátyás u. 11.,47.4860338,19.0629083
Ráday u. 29.,47.485684,19.0643665
Kinizsi u. 15.,47.4846491,19.0643331
Kinizsi u. 11.,47.4844196,19.0637166
Ráday u. 38.,47.4844212,19.0653001
Ráday u. 47.,47.4836717,19.0656877
Bakáts u. 5.,47.4827907,19.0657273
Bakáts tér 6.,47.4831296,19.0673928
Ráday u. 58.,47.4818283,19.06714
Ráday u. 65.,47.4813255,19.067223
Lónyay u. 60.,47.4815702,19.066469
Lónyay u. 45.,47.4818763,19.0658581
Bakáts u. 2/c.,47.4825194,19.0644587
Lónyay u. 42/b.,47.48336,19.06447
Gálya u. 7.,47.4828637,19.0639755
Zsil u. 6.,47.4834782,19.0636441
Lónyay u. 33-35.,47.4838992,19.0633788
Kinizsi u. 1-7.,47.4838377,19.0624867
Lónyay u. 30-32.,47.484636,19.0627908
Lónyay u. 19.,47.4853843,19.0620833
Lónyay u. 13/b.,47.4864004,19.0616055
Erkel u. 4-6.,47.4867504,19.0608652
Lónyay u. 9.,47.4872734,19.0611808
Gönczy P. u. 3.,47.4876463,19.0603928
Lónyay u. 3.,47.4881911,19.060568
Pipa u. 4.,47.4870989,19.0590696
Imre u. 2.,47.4860868,19.0605384
Imre u. 5. (Mátyás u. 6.) (sarok),47.4854253,19.0608915
Bakáts tér 13.,47.4836358,19.0670379
Közraktár u. 22/a.,47.4827532,19.0632829
Tompa u. 5.,47.4829129,19.0694712
Tompa u. 13.,47.482472,19.0706491
Liliom u. 62.,47.4845744,19.0725475
Páva u. 36.,47.484185,19.073451
Berzenczey u. 34.,47.48365,19.0745
Bokréta u. 32-36.,47.4832208,19.0755205
Bokréta u. 20.,47.4820871,19.0747749
Tűzoltó u. 28. Berzenczey u. 26. sarok,47.4830366,19.074125
Berzenczey u. 16.,47.4820327,19.0736168
Ferenc tér 13.,47.4817621,19.073957
Páva u. 27-29.,47.482402,19.0726077
Tűzoltó u. 22.,47.4835755,19.0726025
Liliom u. 48.,47.4829628,19.071677
Tűzoltó u. 14-16.,47.4839697,19.0715029
Tűzoltó u. 8.,47.4842765,19.0706265
Liliom u. 15.,47.4814476,19.0709304
Tompa u. 19.,47.4817429,19.072387
Páva u. 9-11.,47.4807679,19.0719436
Bokréta u. 7-9.,47.4797485,19.0733584
Ipar u. 6.,47.4787942,19.0717157
Mester u. 34. (30-38.),47.4792402,19.0727316
Tinódi u. 7-9.,47.4795033,19.0710833
Mester u. 13. (9-13.),47.4800735,19.0713778
Mester u. 24. (22-28.),47.4802462,19.0712102
Mester u. 5. (3-7.),47.4809907,19.0698369
Mester u. 16. (10-20.),47.48105,19.06991802
Angyal u. 7/a.,47.4807413,19.0687169
Soroksári út 6-8.,47.4797750, 19.0681870
Liliom u. 1/c. Gabona u. 2. sarok,47.4797353,19.0688991
Liliom u. 3/a.,47.480361,19.0699785
Vaskapu u. park (Vaskapu u. 1/d. átellenben),47.4796827,19.0699149
Tinódi u. Gabona u. sarok,47.4789554,19.0693437
Vaskapu u. 4/c.,47.478875,19.0706825
Ipar u. 3.,47.4778902,19.0696699
Vaskapu u. Dandár u. sarok,47.4769399,19.0721061
Dandár u. 1.,47.4764618,19.0710547
Dandár u. 26.,47.4775478,19.0738
Vaskapu u. 23-29.,47.4761011,19.072865
Drégely u. 11.,47.4765712,19.0745612
Haller u. 12-14.,47.4755073,19.0720377
Haller u. 3.,47.4754335,19.0726552
Haller u. 26.,47.4758313,19.0744596
Mester u. 60. (60-62.),47.476983,19.0762957
Mester u. 39. (37-43.),47.4777202,19.0749155
Mester u. 56. (56-58.),47.4775536,19.0753929
Mester u. 27. (21-35.),47.4785536,19.0735567
Mester u. 44. (40-46.),47.4786429,19.0737833
Lechner Ödön sétány fasor 1.,47.4770803,19.0686788
Lechner Ödön sétány fasor 3.,47.4765473,19.0688907
Lechner Ödön sétány fasor 6.,47.4742104,19.0704196
Lechner Ödön sétány fasor 7.,47.4735161,19.0709828
Lechner Ödön sétány fasor 8.,47.4721536,19.0721107
Lechner Ödön sétány fasor 9.,47.4716115,19.0725734
Márton u. 4.,47.4768751,19.0778867
Gát u. 27.,47.4773102,19.078604
Gát u. 21.,47.4776257,19.0779238
Lenhossék u. 3.,47.4775526,19.0766319
Gát u. 9.,47.4783221,19.0766682
Thaly Kálmán u. 10.,47.4786129,19.0753891
Thaly Kálmán u.18.,47.4790107,19.0756406
Berzenczey utca 7-9,47.4799549,19.072702
Balázs Béla u. 7/a.,47.4803111,19.0756305
Viola u. 23.,47.4801382,19.0752298
Viola u. 9.,47.47919,19.07469
Balázs Béla u. 8.,47.480531,19.0753118
Viola u. 36.,47.4811142,19.0758137
Viola u. 44.,47.4818504,19.0763044
Tűzoltó u. 27/a.,47.48239,19.07545
Viola u. 48.,47.4824756,19.0766861
Tűzoltó u. 33/b.,47.48195,19.077131
Thaly Kálmán u. 48.,47.4814641,19.0775173
Thaly Kálmán u. 34.,47.4802235,19.0766033
Vendel u. 1.,47.48051,19.077559
Vendel u. 3.,47.4799681,19.0786136
Lenhossék u. 21.,47.4795438,19.0789828
Balázs Béla u. 22,47.4791765,19.0782207
Balázs Béla u. 27/a,47.4788398,19.0789501
Márton u. 13.,47.4781482,19.079426
Balázs Béla u. 30.,47.4783098,19.0803642
Sobieski János u. 8-12.,47.4775535,19.0803252
Telepy u. 4.,47.4776465,19.0815392
Telepy u. 1. (2/b-vel szemben),47.4768211,19.0806491
Telepy u. 9.,47.4780376,19.082292
Telepy u. 18/a.,47.4787904,19.0830449
Sobieski János u. 20.,47.4786331,19.0818994
Vendel u. 15.,47.47891,19.08079
Márton u. 19.,47.4789012,19.0803138
Vendel u. 22-28.,47.47952602,19.07964975
Lenhossék u. 41.,47.4814594,19.0812499
Lenhossék u. 33.,47.4806737,19.0803225
Tűzoltó u. 61-67. (72-vel szemben),47.4800214,19.0805461
Márton u. 24.,47.47941363,19.08079773
Márton u. 31.,47.4799703,19.0815795
Tűzoltó u. 82,47.4792874,19.0819276
Sobieski János u. 40.,47.480138,19.0837061
Sobieski János u. 27/a.,47.4795996,19.0831804
Telepy u. 32.,47.47982,19.0844
Ernő u. 17.,47.4792961,19.0853123
Tűzoltó u. 87.,47.4781768,19.0837269
Mihálkovics u. 1.,47.4780141,19.0843543
Mihálkovics u. 10.,47.4785607,19.0856738
Haller u. 88.,47.478745,19.0881703
Haller u. 78.,47.4782259,19.0869454
Haller u. 29/a.,47.4776223,19.0860754
Haller u. 31.,47.4780658,19.0870529
Haller u. 72.,47.477851,19.0860022
Haller u. 64.,47.4772127,19.0837743
Haller u. 27.,47.4769611,19.0835072
Haller u. 23.,47.4764829,19.0801942
Haller u. 50.,47.4765455,19.0789404
Tóth Kálmán u. 33.,47.474323,19.077166
Tóth Kálmán u. 21.,47.4737102,19.0751518
Tóth Kálmán u. 1-3.,47.47314,19.07329
Vaskapu u.30.,47.4742345,19.0745893
Pápay István u. 8-10.,47.4745116,19.0729021
Szent Benedek u. 4.,47.4744943,19.0720516
Nádasdy u. 1.,47.4747988,19.0761683
Haller u. 76.,47.4781977,19.0863465
Haller u. 68.,47.4776539,19.0850289
Mihálkovics u. 20.,47.4793681,19.0874554
Mester u. 61.,47.4752621,19.0780044
Tűzoltó u. 43-45.,47.4813031,19.0783272
Tűzoltó u. 55.,47.4807038,19.0793763
Sóház u. 2-6.,47.486791,19.0582623
Sóház u. 2-6.,47.4861892,19.0589771
Ferenc tér 1. (3.),47.4805701,19.0737822
Albert Flórián út 2-6.,47.4755569,19.0928664
Albert Flórián út 3.,47.4763033,19.0916913
Nagyvárad tér 2.,47.4774473,19.0907963
Nagyvárad tér 1.,47.4779939,19.0900928
Vágóhíd utca 62.,47.4753193,19.0853323
Fehér Holló utca 3-5.,47.4762926,19.0848218
Vágóhíd utca 52.,47.4747901,19.0836747
Vágóhíd utca 44.,47.4740308,19.0818278
Mester utca 71.,47.4739277,19.0790278
Vágóhíd utca 30.,47.4727388,19.0783288
Nádasdy utca 8.,47.4732269,19.0778179
Albert Flórián út 7.,47.4736516,19.0947208
Vágóhíd u. 11,47.4741529,19.0828001
Vágóhíd utca 3,47.4716059,19.0758616
Ecseri út 2-6.,47.4701764,19.1088533
Dési Huber utca 3.,47.4700255,19.1109629
Üllői út 155.,47.4696671,19.1141094
Ifjúmunkás utca 24.,47.4674262,19.1162171
Ifjúmunkás utca 34.,47.4662101,19.1203869
Dési Huber utca 13.,47.4680472,19.1110247
Budapest IX. Désy Huber utca 20. ,47.466082,19.11353
Ifjúmunkás u. 31,47.466526,19.1184547
Ifjúmunkás utca 1.,47.4673707,19.1087537
